customer_id,age,gender,city_type,employment_type,employment_years,business_vintage_years,education_level,annual_income,monthly_income,dependents,credit_score,cibil_score,loan_type,requested_loan_amount,loan_tenure_months,property_value,property_location,down_payment,property_type,gold_weight,gold_purity,gold_market_value,course_fee,college,course_duration,coapplicant_income,business_turnover,years_in_business,business_type,gst_number,interest_rate,emi_amount,emi_income_ratio,probability_of_default,loan_approval_status,safe_loan_amount
1900,53,Female,Semi-Urban,Salaried,9,1,School,385092,32091,3,709,682,gold,606005,120,,,,,142.0,22.0,852000.0,,,,,,,,,11.0,8347.7195592961,0.26012650148939265,0.09536455036183898,Rejected,372383
1901,49,Male,Rural,Self-employed,2,5,Graduate,0,0,1,603,578,business,3529399,12,,,,,,,,,,,,3529399.0,13.0,Retail,R60DW0178Z40TC3,13.0,315236.3035797733,1.0718073085409952,0.7767411744094753,Rejected,1975765
1902,38,Male,Semi-Urban,Self-employed,2,3,School,0,0,4,777,772,business,6797146,240,,,,,,,,,,,,2146467.0,4.0,Retail,6FPQUP49TYC4LHW,13.0,79633.7115961249,0.44519880303470716,0.3992101275877602,Approved,0
1903,24,Male,Rural,Student,0,3,Graduate,0,0,3,425,468,education,1134070,120,,,,,,,,1175811.0,ABC University,38.0,51569.0,,,,,10.0,14986.818617549976,0.2906168166446892,0.5891101473848961,Rejected,770585
1904,43,Male,Semi-Urban,Self-employed,12,7,Postgraduate,602292,50191,4,677,658,gold,605942,180,,,,,152.0,24.0,912000.0,,,,,,,,,11.0,6887.118197187825,0.13721819045621375,0.21128299083641078,Approved,0
1905,25,Female,Semi-Urban,Student,0,3,Postgraduate,0,0,4,573,528,education,1351009,60,,,,,,,,1455800.0,XYZ College,36.0,44776.0,,,,,10.0,28704.94862832592,0.6410788955763338,0.8101099264742443,Rejected,1053699
1906,55,Female,Urban,Student,0,4,School,0,0,0,825,782,education,858822,60,,,,,,,,1183444.0,National Institute,25.0,63431.0,,,,,10.0,18247.429433020894,0.28767368373541163,0.1595871550364183,Approved,0
1907,52,Male,Semi-Urban,Student,0,10,School,0,0,3,601,616,education,1292967,240,,,,,,,,1400801.0,National Institute,47.0,63542.0,,,,,10.0,12477.411413664062,0.19636478885877154,0.14269458110604918,Rejected,954816
1908,34,Male,Urban,Student,0,1,Postgraduate,0,0,0,782,820,education,1109487,12,,,,,,,,1287339.0,National Institute,33.0,30447.0,,,,,10.0,97541.53397516199,3.2036500796519194,0.4534321578703857,Rejected,173160
1909,24,Female,Semi-Urban,Salaried,5,10,Postgraduate,0,0,3,603,615,business,8533156,120,,,,,,,,,,,,3303157.0,5.0,Manufacturing,D7JVHG2OJF3VVB8,13.0,127409.18367011007,0.4628633165306163,0.03713955748335081,Approved,0
1910,43,Male,Semi-Urban,Self-employed,11,12,Postgraduate,0,0,3,676,649,business,10832488,36,,,,,,,,,,,,4193221.0,4.0,Retail,6SBPMNBL4D1PQJH,13.0,364989.3307482363,1.044512552278746,0.7130265360723543,Rejected,6222513
1911,41,Male,Urban,Student,0,15,Postgraduate,0,0,2,671,691,education,525183,24,,,,,,,,671466.0,ABC University,43.0,65751.0,,,,,10.0,24234.530848716007,0.3685804147270157,0.1401943622706457,Approved,0
1912,44,Female,Urban,Salaried,5,14,Graduate,0,0,2,723,764,business,11086592,36,,,,,,,,,,,,3912915.0,13.0,Manufacturing,9W3YB17SRWGBV3H,13.0,373551.0987280808,1.145594316446171,0.571825936060425,Rejected,5806554
1913,51,Female,Semi-Urban,Student,0,12,School,0,0,2,703,670,education,215497,36,,,,,,,,260688.0,ABC University,46.0,90342.0,,,,,10.0,6953.482038710416,0.07696843150152106,0.17069194845713953,Approved,0
1914,23,Male,Semi-Urban,Self-employed,3,13,School,0,0,1,730,722,business,9068752,120,,,,,,,,,,,,3752587.0,7.0,Services,I8G4H12E28IGPI5,13.0,135406.2071789943,0.43300114991282856,0.21894471467430818,Approved,0
1915,47,Male,Semi-Urban,Self-employed,19,11,School,1451880,120990,1,719,769,gold,888468,180,,,,,192.0,22.0,1152000.0,,,,,,,,,11.0,10098.300052511748,0.08346392307225182,0.29330580987852595,Rejected,673109
1916,29,Female,Semi-Urban,Self-employed,20,15,School,2062440,171870,3,692,724,home,8593500,36,13831160.153189065,Suburban,3190286.3487364436,Apartment,,,,,,,,,,,,8.5,271275.6328493406,1.5783768711778705,0.6856282379437484,Rejected,3266710
1917,31,Male,Rural,Self-employed,13,6,Graduate,1096296,91358,1,612,584,gold,487900,180,,,,,110.0,24.0,660000.0,,,,,,,,,11.0,5545.456443699134,0.06070028288381022,0.23364727940242072,Rejected,335889
1918,42,Male,Semi-Urban,Salaried,2,1,Postgraduate,1618656,134888,1,479,528,gold,557135,24,,,,,149.0,22.0,894000.0,,,,,,,,,11.0,25966.857933620737,0.19250680515405919,0.4864032479942645,Rejected,394081
1919,51,Male,Urban,Salaried,5,3,Graduate,1738116,144843,4,617,599,home,4055604,180,5164759.155713105,Suburban,1237281.4827157499,Apartment,,,,,,,,,,,,8.5,39937.136900812686,0.27572707621916615,0.010336383820129713,Rejected,3098700
1920,40,Male,Rural,Salaried,2,11,Graduate,1467888,122324,3,818,779,home,4281340,120,6861388.47312731,Suburban,1794935.723119583,Apartment,,,,,,,,,,,,8.5,53082.48892059995,0.43394991106078895,0.12604277909408068,Approved,0
1921,34,Male,Urban,Self-employed,2,7,Postgraduate,353424,29452,3,582,578,gold,126568,36,,,,,31.0,24.0,186000.0,,,,,,,,,11.0,4143.673948064675,0.14069244696674843,0.7434774627913747,Rejected,85009
1922,31,Female,Semi-Urban,Self-employed,19,2,School,0,0,3,796,834,business,3826818,24,,,,,,,,,,,,3061454.0,12.0,Manufacturing,LK3O2SYSNNPVZSV,13.0,181933.90243429213,0.7131274320017565,0.636866071714739,Rejected,3219748
1923,34,Female,Semi-Urban,Self-employed,14,9,School,1367604,113967,0,580,564,home,3760911,240,5062555.310940633,City Center,1237731.7275251169,Independent House,,,,,,,,,,,,8.5,32638.059444200037,0.28638166701062623,0.7704771191571111,Rejected,2374255
1924,44,Male,Semi-Urban,Salaried,10,1,Graduate,1441788,120149,0,700,731,gold,81771,180,,,,,21.0,24.0,126000.0,,,,,,,,,11.0,929.4066793558553,0.007735450809876531,0.18122221368672983,Approved,0
1925,51,Male,Urban,Salaried,8,13,Graduate,1230060,102505,3,697,703,home,4100200,60,6008901.927873499,Town,993048.4211837825,Land,,,,,,,,,,,,8.5,84121.88174717556,0.8206612530820503,0.4088861208523308,Rejected,2997729
1926,38,Female,Urban,Salaried,3,5,Graduate,351888,29324,4,672,677,gold,536784,180,,,,,148.0,24.0,888000.0,,,,,,,,,11.0,6101.070489187529,0.20805723943484958,0.18812743911179997,Approved,0
1927,28,Female,Urban,Student,0,15,Postgraduate,0,0,1,575,588,education,652047,120,,,,,,,,810917.0,ABC University,24.0,65800.0,,,,,10.0,8616.849153154222,0.13095515430325566,0.4833519856744154,Rejected,401262
1928,50,Male,Semi-Urban,Self-employed,13,4,Graduate,519252,43271,4,590,555,gold,553612,240,,,,,143.0,22.0,858000.0,,,,,,,,,11.0,5714.318802800918,0.1320588570359113,0.6321166451535452,Rejected,382874
1929,47,Male,Urban,Salaried,20,13,Postgraduate,1859472,154956,3,707,702,home,5423460,12,9338209.822663264,Suburban,2153400.6160558145,Land,,,,,,,,,,,,8.5,473033.0013810147,3.0526923861032467,0.5420336414232356,Rejected,1065969
1930,45,Female,Rural,Salaried,15,2,Graduate,0,0,0,570,573,business,6267900,180,,,,,,,,,,,,2212200.0,14.0,Services,ADGZTRI4FES4FGJ,13.0,79304.11380287819,0.43018233687484775,0.45207599928166964,Rejected,3835330
1931,24,Female,Rural,Self-employed,2,4,Postgraduate,1898988,158249,3,583,534,home,5855213,240,9139465.133853182,City Center,1079848.4335829944,Independent House,,,,,,,,,,,,8.5,50812.89877703908,0.32109459634524756,0.6005337710013376,Rejected,3951944
1932,36,Male,Rural,Self-employed,13,10,School,1147728,95644,2,607,631,home,4590912,12,7364795.472511146,Town,894069.9356467176,Independent House,,,,,,,,,,,,8.5,400418.34593342943,4.186549558084453,0.782804354448244,Rejected,657952
1933,47,Female,Urban,Student,0,2,School,0,0,0,711,720,education,989545,60,,,,,,,,1341522.0,National Institute,48.0,112804.0,,,,,10.0,21024.906858812024,0.1863844088756784,0.0949440785363054,Approved,0
1934,39,Male,Urban,Self-employed,5,7,Graduate,1220088,101674,3,432,449,gold,363358,12,,,,,85.0,24.0,510000.0,,,,,,,,,11.0,32114.18267709266,0.31585442371788913,0.6748678559110038,Rejected,228642
1935,45,Male,Urban,Salaried,12,8,Postgraduate,0,0,2,677,644,business,11650818,12,,,,,,,,,,,,3584867.0,15.0,Services,JHMW5W9GCLUN03C,13.0,1040619.3235734147,3.4833738275034962,0.5676906235954137,Rejected,2006816
1936,38,Female,Urban,Self-employed,3,13,School,0,0,4,675,638,business,3617994,36,,,,,,,,,,,,1400514.0,2.0,Retail,YP7Y5VY9N3B437V,13.0,121904.51618419836,1.0445123677523969,0.7989919106328774,Rejected,2078287
1937,55,Male,Rural,Salaried,1,2,School,0,0,1,784,757,business,7502032,240,,,,,,,,,,,,3751016.0,12.0,Services,P6DKCFFZQNO31KX,13.0,87891.98476432607,0.28117817070679324,0.11772297312018337,Rejected,4785689
1938,27,Female,Urban,Student,0,14,Graduate,0,0,1,603,586,education,188380,60,,,,,,,,221014.0,XYZ College,44.0,117790.0,,,,,10.0,4002.5182827087283,0.033980119557761514,0.04280068022104771,Rejected,148408
1939,54,Female,Urban,Salaried,15,7,Postgraduate,0,0,1,681,707,business,3123458,240,,,,,,,,,,,,3407409.0,5.0,Retail,4XQJJGGWLIET6RS,13.0,36593.675279979136,0.12887331792565837,0.11590644589984428,Rejected,1964533
1940,33,Female,Semi-Urban,Salaried,2,5,Postgraduate,375660,31305,4,676,717,home,1440030,60,2524433.4694181373,City Center,335106.9071115642,Land,,,,,,,,,,,,8.5,29544.420606893622,0.9437604410443579,0.47217026922766653,Rejected,762921
1941,44,Male,Rural,Self-employed,7,3,Postgraduate,414864,34572,4,675,697,home,1279164,60,1953252.748990602,Town,397812.10174691235,Apartment,,,,,,,,,,,,8.5,26244.00827843619,0.7591116591008964,0.6821218124432238,Rejected,842540
1942,40,Female,Rural,Salaried,2,12,Graduate,0,0,2,815,774,business,4055955,12,,,,,,,,,,,,2863027.0,4.0,Manufacturing,8GD36XCXRGQL0I2,13.0,362266.8510094492,1.5183937182965408,0.4215067393447288,Rejected,1602729
1943,40,Male,Semi-Urban,Salaried,6,9,School,1970448,164204,2,686,726,home,8867016,12,15830882.086062692,City Center,4520083.96623452,Land,,,,,,,,,,,,8.5,773379.206590162,4.70986825284501,0.5669851576952043,Rejected,1129588
1944,26,Male,Urban,Salaried,16,7,School,1260720,105060,0,589,596,gold,249010,36,,,,,65.0,24.0,390000.0,,,,,,,,,11.0,8152.267949304602,0.07759630638972588,0.537749890468263,Rejected,177686
1945,40,Female,Semi-Urban,Self-employed,5,11,School,0,0,4,779,779,business,1239000,240,,,,,,,,,,,,619500.0,5.0,Manufacturing,41AR7S0F18KSWMZ,13.0,14515.823062738204,0.2811781707067933,0.28467893122179366,Approved,0
1946,22,Female,Semi-Urban,Student,0,3,Graduate,0,0,4,437,421,education,678728,24,,,,,,,,857024.0,ABC University,36.0,72024.0,,,,,10.0,31319.853563210007,0.43485301515064434,0.5729599068243167,Rejected,505706
1947,27,Male,Rural,Self-employed,8,6,School,933264,77772,3,786,821,home,1866528,36,2435183.310190838,City Center,404076.1373957035,Apartment,,,,,,,,,,,,8.5,58921.69249211777,0.7576208981653779,0.6213242627063852,Rejected,1231835
1948,47,Male,Semi-Urban,Student,0,4,School,0,0,1,712,745,education,149898,24,,,,,,,,201855.0,National Institute,27.0,46920.0,,,,,10.0,6917.032168141072,0.147421827965496,0.0020899800625724164,Approved,0
1949,54,Female,Semi-Urban,Self-employed,19,15,Graduate,0,0,0,712,688,business,1930767,12,,,,,,,,,,,,643589.0,12.0,Retail,5N7H4APBHJ8T0P3,13.0,172450.84847414758,3.2154219256229846,0.6216667273833536,Rejected,300235
1950,48,Female,Semi-Urban,Student,0,10,Graduate,0,0,3,796,835,education,158366,36,,,,,,,,211440.0,National Institute,29.0,58094.0,,,,,10.0,5110.025367139282,0.0879613276265928,0.07951035873445489,Approved,0
1951,55,Male,Urban,Salaried,17,1,Postgraduate,697656,58138,0,606,596,home,3488280,12,5472479.036330151,City Center,1010010.764672824,Apartment,,,,,,,,,,,,8.5,304247.0227598924,5.233186947605566,0.4845827601303437,Rejected,333284
1952,25,Female,Urban,Student,0,12,Graduate,0,0,1,623,646,education,601182,12,,,,,,,,623744.0,XYZ College,46.0,109481.0,,,,,10.0,52853.448916711815,0.48276366599420734,0.04865919709399711,Approved,0
1953,47,Female,Semi-Urban,Self-employed,2,7,Postgraduate,379704,31642,4,709,697,gold,873812,120,,,,,197.0,22.0,1182000.0,,,,,,,,,11.0,12036.761286701667,0.38040456629485075,0.295007855474256,Approved,0
1954,48,Female,Rural,Self-employed,10,13,School,1247484,103957,3,783,765,home,2391011,60,4130084.4940020633,City Center,675412.7977230722,Apartment,,,,,,,,,,,,8.5,49055.252084824155,0.47188022052217893,0.3247102501303989,Approved,0
1955,27,Female,Semi-Urban,Student,0,2,Graduate,0,0,1,699,672,education,910689,180,,,,,,,,1148815.0,XYZ College,37.0,67978.0,,,,,10.0,9786.310600404882,0.1439629085940287,0.14541698281145635,Approved,0
1956,39,Female,Rural,Self-employed,8,14,Graduate,0,0,4,815,816,business,5576960,36,,,,,,,,,,,,3346176.0,11.0,Services,Z4SL4QMP1LCGO4F,13.0,187909.8225642792,0.6738790400658394,0.7608276958968953,Rejected,4965544
1957,29,Female,Rural,Self-employed,20,9,Postgraduate,432492,36041,4,818,862,gold,366268,180,,,,,94.0,22.0,564000.0,,,,,,,,,11.0,4162.990860259877,0.11550708527121548,0.24680771369958576,Approved,0
1958,49,Female,Semi-Urban,Student,0,15,Postgraduate,0,0,4,707,661,education,1039275,240,,,,,,,,1120529.0,ABC University,25.0,85403.0,,,,,10.0,10029.228701842907,0.11743414987579953,0.10652791633983812,Rejected,788191
1959,21,Male,Urban,Self-employed,17,1,School,1022124,85177,1,819,825,gold,854957,60,,,,,189.0,22.0,1134000.0,,,,,,,,,11.0,18588.83680291775,0.21823774966150195,0.28620030369785365,Approved,0
1960,23,Male,Rural,Student,0,15,Graduate,0,0,1,589,542,education,1174217,12,,,,,,,,1406154.0,XYZ College,44.0,82716.0,,,,,10.0,103232.32935556053,1.2480333835722295,0.9511089385233255,Rejected,564512
1961,22,Male,Urban,Salaried,16,10,School,0,0,1,590,547,business,7207226,120,,,,,,,,,,,,3931214.0,10.0,Services,78V09W6H2P0BVVI,13.0,107611.62472430983,0.3284836431422247,0.47704532485476264,Rejected,4850082
1962,50,Female,Rural,Self-employed,4,12,School,0,0,0,611,600,business,7165337,180,,,,,,,,,,,,4299202.0,7.0,Retail,VUAPODFRA24QB5N,13.0,90658.86515164151,0.25304844522767206,0.37141865618204517,Rejected,4784323
1963,42,Male,Rural,Student,0,15,Graduate,0,0,0,709,683,education,213396,180,,,,,,,,215042.0,National Institute,31.0,45604.0,,,,,10.0,2293.164336984415,0.05028428069871974,0.040633653718696455,Approved,0
1964,37,Female,Rural,Self-employed,20,15,School,1766484,147207,1,689,681,gold,564834,120,,,,,150.0,22.0,900000.0,,,,,,,,,11.0,7780.588987806129,0.05285474867231945,0.32934925388954417,Approved,0
1965,41,Female,Urban,Self-employed,15,3,School,742536,61878,0,674,640,gold,713064,36,,,,,189.0,22.0,1134000.0,,,,,,,,,11.0,23344.800582317726,0.3772714144335261,0.2226963789369456,Approved,0
1966,36,Male,Semi-Urban,Student,0,11,School,0,0,3,442,470,education,953407,36,,,,,,,,1258348.0,XYZ College,44.0,65541.0,,,,,10.0,30763.762140915103,0.46938194627660706,0.5521159300339739,Rejected,587209
1967,39,Female,Rural,Self-employed,13,12,Postgraduate,1295880,107990,0,607,596,home,4211610,240,6500467.643347478,Suburban,1434727.8653330149,Apartment,,,,,,,,,,,,8.5,36549.33007874616,0.33845106101255823,0.33491157622216217,Rejected,3099062
1968,47,Male,Urban,Student,0,1,Graduate,0,0,1,692,739,education,772490,120,,,,,,,,937066.0,ABC University,24.0,109376.0,,,,,10.0,10208.512273379229,0.0933341160161208,0.18899540490285774,Approved,0
1969,45,Female,Semi-Urban,Salaried,19,3,Postgraduate,1038492,86541,1,599,600,home,4846296,120,8365170.340659115,Suburban,2107280.3482814073,Independent House,,,,,,,,,,,,8.5,60087.134804978785,0.6943198576972623,0.935262578802138,Rejected,4187951
1970,54,Female,Semi-Urban,Student,0,14,Graduate,0,0,0,771,745,education,221601,12,,,,,,,,234736.0,ABC University,24.0,96519.0,,,,,10.0,19482.248526057425,0.20184884350291057,0.1393637968964184,Approved,0
1971,39,Male,Urban,Salaried,18,2,Postgraduate,1996164,166347,2,794,842,home,5655798,12,8149070.571631624,Town,1512738.0725755151,Land,,,,,,,,,,,,8.5,493297.4711982277,2.965472603643154,0.5498036303886236,Rejected,1144330
1972,53,Female,Urban,Salaried,4,4,School,1693692,141141,2,619,592,gold,105353,120,,,,,26.0,22.0,156000.0,,,,,,,,,11.0,1451.2376939637822,0.010282183730905848,0.09420692173193917,Rejected,69824
1973,48,Male,Urban,Salaried,9,3,Postgraduate,2085000,173750,4,715,720,home,8166250,180,10870947.662040012,City Center,1950373.9147283228,Independent House,,,,,,,,,,,,8.5,80416.29414909876,0.46282759222502884,0.00015121998034035579,Rejected,5769595
1974,54,Male,Urban,Student,0,12,Postgraduate,0,0,0,702,669,education,558099,12,,,,,,,,741626.0,National Institute,42.0,53190.0,,,,,10.0,49065.76874718129,0.9224622813908872,0.5689256255234714,Rejected,302505
1975,53,Female,Urban,Salaried,16,12,School,1704336,142028,4,595,602,gold,657677,24,,,,,174.0,24.0,1044000.0,,,,,,,,,11.0,30652.903201575715,0.21582295886427827,0.5601139533707342,Approved,0
1976,24,Female,Semi-Urban,Salaried,15,12,Postgraduate,0,0,1,698,726,business,3817079,180,,,,,,,,,,,,4164086.0,13.0,Retail,AVP1QNZW070EXHZ,13.0,48295.29306635021,0.13917664447761224,0.05605154151584671,Approved,0
1977,45,Male,Semi-Urban,Salaried,2,2,Graduate,706308,58859,1,689,716,home,2589796,180,3740779.4748859922,Suburban,681259.4793444913,Independent House,,,,,,,,,,,,8.5,25502.7456815747,0.4332854054872611,0.17317804343392,Approved,0
1978,43,Female,Rural,Self-employed,20,6,School,0,0,4,797,833,business,14389077,24,,,,,,,,,,,,4543919.0,6.0,Manufacturing,DRJKSC4Q1E0WREQ,13.0,684082.9459455655,1.8065892792866214,0.7367488127601227,Rejected,4778865
1979,22,Male,Urban,Student,0,4,Postgraduate,0,0,4,572,554,education,376192,60,,,,,,,,510538.0,ABC University,47.0,104014.0,,,,,10.0,7992.968244021457,0.07684511934952465,0.5642999687184111,Rejected,293690
1980,38,Female,Urban,Student,0,14,Postgraduate,0,0,2,670,651,education,916045,120,,,,,,,,969174.0,National Institute,39.0,94226.0,,,,,10.0,12105.60217668536,0.12847411729974062,0.05156103337864797,Approved,0
1981,30,Female,Rural,Self-employed,11,2,Postgraduate,1474332,122861,3,779,820,gold,859369,240,,,,,187.0,22.0,1122000.0,,,,,,,,,11.0,8870.30706567817,0.07219790711192461,0.23648472795286568,Approved,0
1982,25,Male,Urban,Student,0,1,Graduate,0,0,2,690,721,education,705747,24,,,,,,,,952880.0,XYZ College,39.0,117727.0,,,,,10.0,32566.643327923368,0.2766284992221272,0.09790216183991861,Approved,0
1983,38,Male,Semi-Urban,Student,0,9,School,0,0,2,585,593,education,868094,24,,,,,,,,1125736.0,ABC University,39.0,79844.0,,,,,10.0,40058.13368404019,0.5017049957922974,0.9052759335956014,Rejected,865144
1984,35,Female,Semi-Urban,Salaried,11,12,School,2109840,175820,1,706,680,home,9494280,60,15540857.70159883,Town,4609898.942256081,Independent House,,,,,,,,,,,,8.5,194789.6930477962,1.1078926916607679,0.46920846349565026,Rejected,5141805
1985,42,Female,Semi-Urban,Student,0,10,School,0,0,3,730,769,education,715375,36,,,,,,,,1010720.0,ABC University,46.0,83973.0,,,,,10.0,23083.139038791556,0.27488763100986696,0.08539123731560483,Approved,0
1986,32,Male,Semi-Urban,Salaried,5,7,School,1743060,145255,0,672,692,gold,106882,24,,,,,23.0,22.0,138000.0,,,,,,,,,11.0,4981.538962120943,0.03429512899467105,0.05762694042573516,Approved,0
1987,43,Male,Semi-Urban,Student,0,14,Postgraduate,0,0,4,805,773,education,979241,36,,,,,,,,1250349.0,ABC University,48.0,96681.0,,,,,10.0,31597.3526548807,0.32682070577342703,0.13048011016588995,Approved,0
1988,38,Female,Urban,Student,0,8,Graduate,0,0,1,603,637,education,1171422,36,,,,,,,,1369941.0,National Institute,39.0,116177.0,,,,,10.0,37798.49295697961,0.3253526339721254,0.0456957672043288,Approved,0
1989,52,Male,Urban,Salaried,2,13,Postgraduate,1510968,125914,0,446,432,gold,184964,36,,,,,40.0,22.0,240000.0,,,,,,,,,11.0,6055.484072829108,0.048092222253515164,0.450434986086521,Rejected,147307
1990,29,Female,Semi-Urban,Salaried,13,12,Postgraduate,828552,69046,4,802,802,gold,348520,12,,,,,80.0,22.0,480000.0,,,,,,,,,11.0,30802.775627949115,0.4461196250028838,0.18450894884538746,Approved,0
1991,33,Male,Semi-Urban,Salaried,19,10,School,0,0,2,679,686,business,6209686,12,,,,,,,,,,,,2661294.0,15.0,Retail,X4DZM54FRE7D6KJ,13.0,554632.2365453915,2.500883719928989,0.44414058054948324,Rejected,1489798
1992,41,Male,Rural,Self-employed,3,15,Graduate,1195980,99665,2,716,714,gold,476964,36,,,,,132.0,22.0,792000.0,,,,,,,,,11.0,15615.189470993613,0.1566767618621744,0.2962378540051427,Approved,0
1993,32,Male,Rural,Self-employed,20,6,Graduate,1333056,111088,0,774,812,home,4110256,36,5943790.7205446735,Suburban,1384351.8718496384,Land,,,,,,,,,,,,8.5,129750.66010040136,1.167998884671624,0.6689653694391045,Rejected,2111435
1994,26,Male,Rural,Student,0,9,Graduate,0,0,1,814,793,education,1152443,36,,,,,,,,1340846.0,ABC University,42.0,111332.0,,,,,10.0,37186.09401122775,0.33401083256590874,0.12871931076755533,Approved,0
1995,26,Male,Rural,Salaried,7,11,School,0,0,2,611,583,business,4604245,60,,,,,,,,,,,,3250055.0,2.0,Retail,NYFBV3YX61FFFSI,13.0,104760.72279850379,0.3868022767559458,0.11314672125859855,Rejected,3487660
1996,21,Male,Urban,Salaried,2,8,School,2206596,183883,2,691,658,home,10113565,120,15697101.901752101,Suburban,3064215.17832197,Independent House,,,,,,,,,,,,8.5,125393.7323502145,0.6819212888098112,0.5762546199655574,Rejected,8898592
1997,50,Female,Urban,Self-employed,14,3,School,532092,44341,2,783,787,gold,582988,240,,,,,144.0,22.0,864000.0,,,,,,,,,11.0,6017.534464945307,0.1357103913972465,0.3983829483930304,Rejected,382166
1998,27,Male,Rural,Student,0,10,Graduate,0,0,0,722,721,education,1275877,36,,,,,,,,1352873.0,XYZ College,39.0,95857.0,,,,,10.0,41168.9619953119,0.4294831049929781,0.06313784519503383,Approved,0
1999,49,Female,Semi-Urban,Self-employed,17,6,Graduate,0,0,0,825,836,business,4690354,120,,,,,,,,,,,,2680202.0,13.0,Retail,QHPC0YBGEY47O7Z,13.0,70032.0226495139,0.3135525873774316,0.3080649714062623,Approved,0
2000,45,Female,Rural,Salaried,19,10,School,774540,64545,0,806,833,gold,284799,36,,,,,72.0,22.0,432000.0,,,,,,,,,11.0,9323.953896204976,0.1444566410443098,0.16823496507197788,Approved,0
2001,32,Male,Semi-Urban,Self-employed,19,11,Graduate,1111500,92625,0,692,642,gold,805570,60,,,,,197.0,24.0,1182000.0,,,,,,,,,11.0,17515.043754629125,0.18909628884889743,0.34999377203182447,Approved,0
2002,30,Female,Urban,Salaried,1,7,Graduate,1435872,119656,3,468,428,gold,336011,12,,,,,80.0,24.0,480000.0,,,,,,,,,11.0,29697.20946150238,0.24818821840528166,0.4240632370097908,Rejected,238344
2003,31,Female,Urban,Salaried,6,8,Postgraduate,804288,67024,2,584,617,gold,490443,180,,,,,109.0,24.0,654000.0,,,,,,,,,11.0,5574.360103744894,0.0831696124335297,0.40569361252430425,Approved,0
2004,46,Female,Semi-Urban,Salaried,5,12,Postgraduate,0,0,0,574,584,business,6358459,12,,,,,,,,,,,,2180043.0,15.0,Retail,0IZUS6LFEBUVEWE,13.0,567920.2356048553,3.126104772822492,0.8615773272556865,Rejected,1220393
2005,29,Female,Urban,Student,0,14,Graduate,0,0,3,782,776,education,364935,240,,,,,,,,493327.0,National Institute,41.0,108890.0,,,,,10.0,3521.7017404508347,0.032341828822213564,0.03986882562966354,Approved,0
2006,36,Male,Semi-Urban,Salaried,14,2,Postgraduate,2228424,185702,2,626,584,home,5942464,12,8345624.572967751,Town,1993484.6663417402,Land,,,,,,,,,,,,8.5,518300.4173569327,2.7910330387229685,0.4643235694239711,Rejected,1277476
2007,42,Female,Rural,Self-employed,1,5,Graduate,0,0,4,613,604,business,8275592,120,,,,,,,,,,,,2920797.0,2.0,Retail,NBVJ1HL7PNGL4G0,13.0,123563.47652696067,0.5076565465944837,0.7094884989820307,Rejected,5764540
2008,25,Female,Urban,Salaried,12,2,Graduate,1660512,138376,2,621,619,gold,571909,240,,,,,144.0,22.0,864000.0,,,,,,,,,11.0,5903.178312953964,0.04266042025317948,0.119069781087672,Approved,0
2009,26,Male,Urban,Salaried,18,9,School,1690092,140841,1,594,564,gold,386676,120,,,,,88.0,24.0,528000.0,,,,,,,,,11.0,5326.46233663151,0.03781897555847736,0.5765274872114713,Rejected,297596
2010,50,Male,Semi-Urban,Salaried,12,15,Postgraduate,864636,72053,3,671,683,gold,217238,36,,,,,57.0,24.0,342000.0,,,,,,,,,11.0,7112.093429063222,0.09870641651372215,0.13106989141120473,Approved,0
2011,33,Female,Semi-Urban,Self-employed,7,1,Postgraduate,2116548,176379,1,723,748,home,5114991,24,7571896.695614357,Suburban,909105.2958005769,Apartment,,,,,,,,,,,,8.5,232505.3679172157,1.3182145715601954,0.7965061915003497,Rejected,2328145
2012,46,Male,Urban,Student,0,7,Graduate,0,0,2,692,707,education,1010180,240,,,,,,,,1227994.0,XYZ College,32.0,92307.0,,,,,10.0,9748.455654208623,0.10560906165522249,0.04857011078621785,Rejected,745479
2013,46,Female,Semi-Urban,Self-employed,15,15,School,0,0,2,618,627,business,2832842,12,,,,,,,,,,,,1999653.0,11.0,Manufacturing,62K8CF2GE5L09RO,13.0,253021.72996182408,1.5183938210989052,0.6617832259383709,Rejected,1119410
2014,29,Male,Semi-Urban,Salaried,16,11,Postgraduate,0,0,1,701,701,business,9946025,60,,,,,,,,,,,,4262582.0,3.0,Manufacturing,ZMLEZQRFBQ6BZJ7,13.0,226302.63332467942,0.6370860665897226,0.5050056599427614,Rejected,9367047
2015,33,Female,Rural,Student,0,12,Postgraduate,0,0,0,827,876,education,570611,240,,,,,,,,813303.0,National Institute,30.0,92827.0,,,,,10.0,5506.519659173252,0.059320237206559,0.04390592615120492,Approved,0
2016,49,Female,Urban,Student,0,14,Postgraduate,0,0,1,788,838,education,154377,36,,,,,,,,210449.0,XYZ College,28.0,108878.0,,,,,10.0,4981.311557423063,0.04575131392405319,0.035471886275294094,Approved,0
2017,53,Male,Urban,Self-employed,5,6,School,1054248,87854,0,792,783,gold,203506,240,,,,,50.0,22.0,300000.0,,,,,,,,,11.0,2100.5653097888116,0.023909728752120697,0.39775452910847797,Rejected,159664
